sender,receiver,count,total,avg,velocity,unique_devices,last_tx
A137,A276,1,99795,99795,1,1,39854
A421,A649,1,10864,10864,1,1,39823
A319,A1759,1,54342,54342,1,1,39484
A1116,A2275,1,14795,14795,1,1,39106
A620,A2370,1,3.09362e+006,3.09362e+006,1,1,38826
A2054,A2318,1,84927,84927,1,1,38571
A219,A2380,1,77359,77359,1,1,38058
A1258,A885,1,73571,73571,1,1,38039
A1713,A1911,1,1.05644e+006,1.05644e+006,1,1,37871
A796,A741,1,11342,11342,1,1,37785
A2299,A1673,1,91672,91672,1,1,37949
A311,A1867,1,41227,41227,1,1,37563
A1495,A2315,1,74778,74778,1,1,37444
A1505,A57,1,1000,1000,1,1,37022
A2314,A383,1,65721,65721,1,1,37533
A2314,A1007,1,4.29109e+006,4.29109e+006,1,1,36569
A575,A1570,1,1.70374e+006,1.70374e+006,1,1,36397
A2300,A694,1,1078,1078,1,1,36361
A443,A574,1,67414,67414,1,1,36240
A1207,A1073,1,27633,27633,1,1,36172
A686,A2081,1,8.81296e+006,8.81296e+006,1,1,36076
A676,A1969,1,62090,62090,1,1,35868
A1128,A361,1,87192,87192,1,1,35758
A1133,A567,1,48571,48571,1,1,34646
A342,A194,1,78680,78680,1,1,37084
A342,A582,1,4.84994e+006,4.84994e+006,1,1,34552
A663,A1452,1,1441,1441,1,1,37908
A663,A1561,1,1285,1285,1,1,34520
A1964,A946,1,28406,28406,1,1,34314
A548,A961,1,64102,64102,1,1,34127
A307,A48,1,6.67734e+006,6.67734e+006,1,1,38824
A307,A1313,1,1.32716e+006,1.32716e+006,1,1,34031
A2406,A1692,1,7.70607e+006,7.70607e+006,1,1,39485
A2406,A171,1,1000,1000,1,1,34000
A1519,A2012,1,34302,34302,1,1,39541
A1519,A79,1,34509,34509,1,1,33751
A2189,A668,1,1000,1000,1,1,35262
A2189,A1958,1,79695,79695,1,1,33379
A905,A390,1,1.96257e+006,1.96257e+006,1,1,33169
A1872,A1820,1,1707,1707,1,1,33852
A1872,A1974,1,1622,1622,1,1,33036
