timestamp,sender,receiver,amount,device_id,location,tx_type,degree_s,degree_r,total_amount_s,total_amount_r,latest_tx_s,latest_tx_r,avgNbrDeg_s,avgNbrDeg_r,clustering_s,clustering_r,pagerank_s,pagerank_r,risk_s,risk_r,count,total,avg,velocity,unique_devices,last_tx,label
0,A103,A1127,32572.0,D115,Bangalore,withdrawal,12.0,4.0,77628.0,10878500.0,33833.0,37516.0,3.75,4.25,0.0,0.0,1.02605,0.778152,2.0,2.0,1.0,32572.0,32572.0,1.0,1.0,0.0,0
7,A896,A2233,1359.0,D113,Singapore,transfer,10.0,3.0,8987160.0,36450.0,22793.0,38386.0,4.2,4.0,0.0,0.0,0.555049,0.475535,2.0,2.0,1.0,1359.0,1359.0,1.0,1.0,7.0,1
8,A896,A1840,1706.0,D143,Singapore,transfer,10.0,2.0,8987160.0,5959310.0,22793.0,28295.0,4.2,3.5,0.0,0.0,0.555049,0.804995,2.0,2.0,1.0,1706.0,1706.0,1.0,1.0,8.0,1
9,A896,A27,826.0,D217,Singapore,transfer,10.0,7.0,8987160.0,18055400.0,22793.0,30754.0,4.2,3.28571,0.0,0.0,0.555049,0.418057,2.0,2.0,1.0,826.0,826.0,1.0,1.0,9.0,1
10,A896,A1394,1069.0,D80,Singapore,transfer,10.0,2.0,8987160.0,5027200.0,22793.0,36702.0,4.2,2.0,0.0,0.0,0.555049,2.15439,2.0,4.0,1.0,1069.0,1069.0,1.0,1.0,10.0,1
11,A896,A882,1189.0,D53,Singapore,transfer,10.0,4.0,8987160.0,5210500.0,22793.0,22539.0,4.2,3.75,0.0,0.0,0.555049,1.66051,2.0,2.0,1.0,1189.0,1189.0,1.0,1.0,11.0,1
12,A896,A380,1278.0,D50,Singapore,transfer,10.0,4.0,8987160.0,7635280.0,22793.0,21196.0,4.2,6.75,0.0,0.0,0.555049,1.57874,2.0,2.0,1.0,1278.0,1278.0,1.0,1.0,12.0,1
13,A896,A1471,1204.0,D136,Singapore,transfer,10.0,4.0,8987160.0,359906.0,22793.0,38603.0,4.2,6.5,0.0,0.0,0.555049,0.519236,2.0,2.0,1.0,1204.0,1204.0,1.0,1.0,13.0,1
14,A896,A178,1994.0,D236,Singapore,transfer,10.0,3.0,8987160.0,2095450.0,22793.0,34849.0,4.2,2.0,0.0,0.0,0.555049,0.715327,2.0,2.0,1.0,1994.0,1994.0,1.0,1.0,14.0,1
16,A323,A2262,1000.0,D_SHARED_1,Dubai,transfer,3.0,8.0,83975.0,597001.0,6982.0,37250.0,6.33333,4.0,0.0,0.0,0.88487,0.400845,2.0,2.0,1.0,1000.0,1000.0,1.0,1.0,16.0,1
17,A2262,A1201,1000.0,D_SHARED_1,Dubai,transfer,8.0,6.0,597001.0,11920900.0,37250.0,17794.0,4.0,3.5,0.0,0.0,0.400845,0.725982,2.0,2.0,1.0,1000.0,1000.0,1.0,1.0,17.0,1
18,A1201,A1482,1000.0,D_SHARED_1,Dubai,transfer,6.0,3.0,11920900.0,166021.0,17794.0,27412.0,3.5,3.33333,0.0,0.0,0.725982,1.78513,2.0,2.0,1.0,1000.0,1000.0,1.0,1.0,18.0,1
19,A1482,A323,1000.0,D_SHARED_1,Dubai,transfer,3.0,3.0,166021.0,83975.0,27412.0,6982.0,3.33333,6.33333,0.0,0.0,1.78513,0.88487,2.0,2.0,1.0,1000.0,1000.0,1.0,1.0,19.0,1
26,A285,A188,86873.0,D117,Singapore,transfer,5.0,2.0,349306.0,163606.0,39828.0,30718.0,4.0,2.0,0.0,0.0,1.7308,1.11717,2.0,2.0,1.0,86873.0,86873.0,1.0,1.0,26.0,0
28,A1858,A1495,21858.0,D190,London,withdrawal,5.0,1.0,13056700.0,74778.0,35851.0,37444.0,3.8,4.0,0.0,0.0,0.606347,0.429897,2.0,2.0,1.0,21858.0,21858.0,1.0,1.0,28.0,0
31,A1003,A670,61241.0,D195,Singapore,withdrawal,5.0,1.0,245557.0,1230280.0,39324.0,27446.0,5.4,0.0,0.0,0.0,1.18618,0.47262,2.0,2.0,1.0,61241.0,61241.0,1.0,1.0,31.0,0
37,A230,A939,4691.0,D162,Pakistan,transfer,7.0,2.0,28837.0,90262.0,27789.0,20279.0,2.71429,5.5,0.0,0.0,1.33086,0.605606,2.0,2.0,1.0,4691.0,4691.0,1.0,1.0,37.0,0
45,A1880,A586,35354.0,D72,Dubai,withdrawal,5.0,4.0,1249020.0,2319750.0,33095.0,38149.0,3.2,2.75,0.0,0.0,0.823561,0.654857,2.0,2.0,1.0,35354.0,35354.0,1.0,1.0,45.0,0
55,A2391,A1636,47859.0,D113,Bangalore,transfer,3.0,0.0,144091.0,0.0,32160.0,0.0,2.33333,0.0,0.0,0.0,0.790557,1.52258,2.0,0.0,1.0,47859.0,47859.0,1.0,1.0,55.0,0
58,A1730,A2443,8820.0,D198,Pakistan,withdrawal,6.0,1.0,9172700.0,1676420.0,39580.0,30500.0,2.66667,6.0,0.0,0.0,0.401311,0.932814,2.0,2.0,1.0,8820.0,8820.0,1.0,1.0,58.0,0
63,A48,A470,89874.0,D275,Singapore,payment,3.0,7.0,7044020.0,13544400.0,21608.0,39200.0,5.33333,4.57143,0.0,0.0,0.774355,1.73164,2.0,2.0,1.0,89874.0,89874.0,1.0,1.0,63.0,0
66,A1079,A2051,23734.0,D260,Mumbai,withdrawal,3.0,4.0,71116.0,219959.0,32899.0,25472.0,7.33333,2.75,0.0,0.0,3.38595,2.14978,4.0,4.0,1.0,23734.0,23734.0,1.0,1.0,66.0,0
75,A627,A1532,21485.0,D277,Delhi,payment,2.0,6.0,43022.0,762128.0,13718.0,35641.0,4.0,4.5,0.0,0.0666667,0.439514,0.765998,2.0,2.0,1.0,21485.0,21485.0,1.0,1.0,75.0,0
80,A987,A2324,10687.0,D44,Ladakh,withdrawal,5.0,3.0,34146.0,7777.0,37233.0,28559.0,3.0,4.66667,0.0,0.0,0.91957,1.13894,2.0,2.0,1.0,10687.0,10687.0,1.0,1.0,80.0,0
83,A677,A2252,4447012.0,D271,Dubai,transfer,5.0,5.0,4700140.0,288595.0,20682.0,39147.0,4.0,3.4,0.0,0.0,0.312588,1.97295,2.0,4.0,1.0,4447010.0,4447010.0,1.0,1.0,83.0,1
84,A2485,A2252,7099176.0,D109,Dubai,transfer,5.0,5.0,14519900.0,288595.0,36952.0,39147.0,3.0,3.4,0.0,0.0,0.860184,1.97295,2.0,4.0,1.0,7099180.0,7099180.0,1.0,1.0,84.0,1
85,A2209,A2252,3374854.0,D160,Dubai,transfer,5.0,5.0,7341980.0,288595.0,37935.0,39147.0,3.4,3.4,0.0,0.0,0.630012,1.97295,2.0,4.0,1.0,3374850.0,3374850.0,1.0,1.0,85.0,1
86,A1635,A2252,6265056.0,D225,Dubai,transfer,7.0,5.0,12133000.0,288595.0,36693.0,39147.0,3.85714,3.4,0.0,0.0,1.0,1.97295,2.0,4.0,1.0,6265060.0,6265060.0,1.0,1.0,86.0,1
87,A2120,A2252,7574780.0,D62,Dubai,transfer,5.0,5.0,7620380.0,288595.0,37199.0,39147.0,3.8,3.4,0.0,0.0,0.948142,1.97295,2.0,4.0,1.0,7574780.0,7574780.0,1.0,1.0,87.0,1
87,A1385,A87,77589.0,D284,Dubai,transfer,3.0,8.0,232774.0,35465.0,22821.0,38175.0,6.66667,6.0,0.0,0.0,2.1887,1.10964,4.0,2.0,1.0,77589.0,77589.0,1.0,1.0,87.0,0
89,A1354,A291,67878.0,D122,Singapore,transfer,6.0,6.0,340872.0,6709370.0,37008.0,37805.0,4.0,2.66667,0.0,0.0,1.74924,1.28011,2.0,2.0,1.0,67878.0,67878.0,1.0,1.0,89.0,0
98,A2361,A1937,4076917.0,D243,Pakistan,transfer,9.0,2.0,14421600.0,1010510.0,33598.0,17408.0,3.33333,7.5,0.0,0.0,2.30178,0.889588,4.0,2.0,1.0,4076920.0,4076920.0,1.0,1.0,98.0,1
99,A2361,A780,1582624.0,D50,Pakistan,transfer,9.0,3.0,14421600.0,232014.0,33598.0,18351.0,3.33333,2.66667,0.0,0.0,2.30178,1.38748,4.0,2.0,1.0,1582620.0,1582620.0,1.0,1.0,99.0,1
100,A2361,A1452,7106570.0,D211,Ladakh,transfer,9.0,2.0,14421600.0,12829.0,33598.0,22002.0,3.33333,3.0,0.0,0.0,2.30178,1.06886,4.0,2.0,1.0,7106570.0,7106570.0,1.0,1.0,100.0,1
101,A2361,A222,1651277.0,D32,Pakistan,transfer,9.0,4.0,14421600.0,151788.0,33598.0,33509.0,3.33333,6.0,0.0,0.0,2.30178,1.92243,4.0,2.0,1.0,1651280.0,1651280.0,1.0,1.0,101.0,1
104,A448,A1019,25693.0,D98,Ladakh,transfer,2.0,7.0,5038650.0,6374060.0,34282.0,39793.0,5.0,4.14286,0.0,0.0,1.53421,1.42242,2.0,2.0,1.0,25693.0,25693.0,1.0,1.0,104.0,0
106,A2255,A402,7228.0,D277,Delhi,transfer,3.0,3.0,6400150.0,291253.0,25194.0,32505.0,5.33333,1.66667,0.0,0.0,0.71515,1.71923,2.0,2.0,1.0,7228.0,7228.0,1.0,1.0,106.0,0
109,A1972,A876,52643.0,D31,Bangalore,payment,14.0,3.0,68169.0,193046.0,33660.0,38490.0,4.0,2.33333,0.0,0.0,1.43839,1.82876,2.0,2.0,1.0,52643.0,52643.0,1.0,1.0,109.0,0
114,A2277,A1994,21189.0,D98,Singapore,transfer,4.0,5.0,3565150.0,242921.0,17472.0,32113.0,5.75,3.4,0.0,0.0,1.14742,1.12356,2.0,2.0,1.0,21189.0,21189.0,1.0,1.0,114.0,0
124,A250,A1285,7600.0,D26,Ladakh,transfer,9.0,6.0,19086100.0,480070.0,32689.0,37993.0,5.55556,2.0,0.0,0.0,1.4613,0.801235,2.0,2.0,1.0,7600.0,7600.0,1.0,1.0,124.0,0
133,A281,A1654,1569840.0,D35,Dubai,transfer,4.0,3.0,1728150.0,46313.0,31669.0,33393.0,5.0,5.0,0.0,0.0,0.721854,2.31575,2.0,4.0,1.0,1569840.0,1569840.0,1.0,1.0,133.0,1
143,A2436,A163,81675.0,D42,Pakistan,payment,11.0,1.0,3117800.0,7590670.0,30070.0,14346.0,3.54545,6.0,0.0,0.0,0.680895,0.202682,2.0,2.0,1.0,81675.0,81675.0,1.0,1.0,143.0,0
147,A1287,A978,35234.0,D203,Bangalore,transfer,5.0,8.0,847441.0,11821200.0,17082.0,38936.0,5.6,4.25,0.0,0.0,0.362188,0.230149,2.0,2.0,1.0,35234.0,35234.0,1.0,1.0,147.0,0
148,A2307,A410,9953.0,D276,Dubai,transfer,5.0,7.0,50389.0,10279100.0,27551.0,36822.0,4.6,2.85714,0.0,0.0,1.08947,3.43968,2.0,6.0,1.0,9953.0,9953.0,1.0,1.0,148.0,0
154,A1001,A1514,38009.0,D81,Ladakh,withdrawal,5.0,4.0,152718.0,1297500.0,18707.0,27109.0,4.4,4.25,0.0,0.0,1.6597,3.19041,2.0,6.0,1.0,38009.0,38009.0,1.0,1.0,154.0,0
163,A425,A551,34894.0,D60,Mumbai,payment,5.0,8.0,9720550.0,18976000.0,36259.0,33123.0,4.0,3.625,0.0,0.0,0.692389,0.450852,2.0,2.0,1.0,34894.0,34894.0,1.0,1.0,163.0,0
168,A1405,A834,90607.0,D136,Ladakh,transfer,5.0,8.0,362872.0,3628300.0,39146.0,48856.0,4.4,3.125,0.0,0.0,0.991999,1.44053,2.0,2.0,1.0,90607.0,90607.0,1.0,1.0,168.0,0
175,A181,A15,44656.0,D67,Singapore,withdrawal,5.0,3.0,1061360.0,8104090.0,38677.0,29113.0,4.4,3.0,0.0,0.0,0.44232,1.88778,2.0,4.0,1.0,44656.0,44656.0,1.0,1.0,175.0,0
183,A1752,A2298,2055.0,D58,Mumbai,withdrawal,3.0,5.0,5561.0,168648.0,31872.0,38802.0,3.66667,3.2,0.0,0.0,1.8687,1.65912,2.0,2.0,1.0,2055.0,2055.0,1.0,1.0,183.0,0
184,A2386,A2264,19806.0,D221,Bangalore,payment,3.0,1.0,44916.0,51212.0,24339.0,24656.0,1.66667,3.0,0.0,0.0,0.289932,0.792416,2.0,2.0,1.0,19806.0,19806.0,1.0,1.0,184.0,0
190,A164,A1466,27879.0,D128,Mumbai,withdrawal,2.0,11.0,55874.0,78581.0,2269.0,30320.0,8.0,4.63636,0.0,0.0,1.79085,2.34944,2.0,4.0,1.0,27879.0,27879.0,1.0,1.0,190.0,0
193,A970,A666,23909.0,D212,Delhi,withdrawal,3.0,3.0,71587.0,7748120.0,13989.0,25866.0,7.66667,2.66667,0.0,0.333333,1.02107,0.922515,2.0,2.0,1.0,23909.0,23909.0,1.0,1.0,193.0,0
199,A1687,A1017,35428.0,D82,Mumbai,transfer,6.0,5.0,465715.0,116948.0,19463.0,39503.0,4.66667,2.8,0.0,0.0,1.30675,1.30306,2.0,2.0,1.0,35428.0,35428.0,1.0,1.0,199.0,0
203,A1886,A1433,40538.0,D117,Dubai,withdrawal,6.0,3.0,163446.0,15733100.0,29863.0,34156.0,5.83333,3.33333,0.0,0.0,1.35306,0.655651,2.0,2.0,1.0,40538.0,40538.0,1.0,1.0,203.0,0
207,A1142,A285,36919.0,D180,Pakistan,transfer,7.0,5.0,964639.0,349306.0,31531.0,39828.0,3.71429,4.0,0.0,0.0,0.266976,1.7308,2.0,2.0,1.0,36919.0,36919.0,1.0,1.0,207.0,0
209,A1070,A732,76250.0,D136,Delhi,withdrawal,6.0,1.0,15031100.0,4900930.0,32688.0,21551.0,3.66667,3.0,0.0,0.0,0.733075,0.779581,2.0,2.0,1.0,76250.0,76250.0,1.0,1.0,209.0,0
216,A1285,A1788,79760.0,D262,Mumbai,transfer,6.0,4.0,480070.0,395825.0,37993.0,37216.0,2.0,8.5,0.0,0.0,0.801235,0.975775,2.0,2.0,1.0,79760.0,79760.0,1.0,1.0,216.0,0
225,A1231,A2078,41211.0,D210,London,withdrawal,3.0,3.0,903452.0,5555800.0,35559.0,36703.0,4.66667,5.0,0.0,0.0,0.438645,0.858897,2.0,2.0,1.0,41211.0,41211.0,1.0,1.0,225.0,0
230,A786,A1723,87526.0,D195,Bangalore,payment,4.0,0.0,6424020.0,0.0,35167.0,0.0,1.0,0.0,0.0,0.0,0.181105,3.09047,2.0,4.0,1.0,87526.0,87526.0,1.0,1.0,230.0,0
235,A2376,A2485,86200.0,D165,Ladakh,payment,6.0,5.0,518465.0,14519900.0,37039.0,36952.0,5.5,3.0,0.0,0.0,0.596944,0.860184,2.0,2.0,1.0,86200.0,86200.0,1.0,1.0,235.0,0
239,A696,A348,38106.0,D264,London,withdrawal,4.0,4.0,77961.0,4889830.0,31828.0,23116.0,4.75,4.0,0.0,0.0,0.848568,0.808359,2.0,2.0,1.0,38106.0,38106.0,1.0,1.0,239.0,0
244,A816,A604,3973.0,D24,Dubai,withdrawal,3.0,6.0,1654500.0,6438410.0,33212.0,16488.0,4.0,3.83333,0.0,0.0,0.945977,0.818202,2.0,2.0,1.0,3973.0,3973.0,1.0,1.0,244.0,0
246,A2358,A797,94563.0,D197,Ladakh,transfer,11.0,8.0,3674380.0,10982900.0,40138.0,32003.0,6.27273,4.875,0.0,0.0,1.16517,0.69021,2.0,2.0,1.0,94563.0,94563.0,1.0,1.0,246.0,0
253,A2122,A1903,7148.0,D286,Dubai,payment,6.0,1.0,8993470.0,11064.0,38851.0,11508.0,3.16667,6.0,0.0,0.0,2.56701,1.19022,4.0,2.0,1.0,7148.0,7148.0,1.0,1.0,253.0,0
256,A2176,A2290,78304.0,D163,Ladakh,withdrawal,9.0,5.0,13793700.0,51804.0,41098.0,39409.0,4.11111,2.8,0.0,0.0,0.331831,1.22265,2.0,2.0,1.0,78304.0,78304.0,1.0,1.0,256.0,0
264,A1945,A1844,34264.0,D127,Singapore,withdrawal,6.0,6.0,6871880.0,1597130.0,32602.0,36762.0,4.66667,3.5,0.0,0.0,2.38407,1.00102,6.0,2.0,1.0,34264.0,34264.0,1.0,1.0,264.0,0
268,A318,A1171,31129.0,D140,London,transfer,6.0,3.0,9236810.0,1265230.0,37113.0,38793.0,5.0,4.66667,0.0,0.0,1.7215,1.76228,2.0,2.0,1.0,31129.0,31129.0,1.0,1.0,268.0,0
272,A626,A877,9143.0,D213,Pakistan,withdrawal,3.0,2.0,8416450.0,167355.0,19792.0,12414.0,3.66667,4.0,0.0,0.0,0.450368,0.655911,2.0,2.0,1.0,9143.0,9143.0,1.0,1.0,272.0,0
280,A848,A1721,51760.0,D300,Delhi,payment,3.0,3.0,593978.0,8031110.0,30311.0,23367.0,3.0,3.66667,0.0,0.0,0.395548,2.29123,2.0,4.0,1.0,51760.0,51760.0,1.0,1.0,280.0,0
281,A1224,A1598,55154.0,D276,Dubai,transfer,7.0,4.0,3323360.0,16681200.0,39692.0,28667.0,4.57143,6.25,0.0,0.0,0.880132,0.25686,2.0,2.0,1.0,55154.0,55154.0,1.0,1.0,281.0,0
286,A119,A1593,44798.0,D208,Bangalore,payment,6.0,5.0,267906.0,1712630.0,39868.0,37607.0,3.66667,3.8,0.0,0.0,1.80086,1.19623,2.0,2.0,1.0,44798.0,44798.0,1.0,1.0,286.0,0
296,A112,A344,84367.0,D220,Bangalore,transfer,7.0,2.0,5375400.0,6057770.0,32099.0,16716.0,2.57143,5.5,0.0,0.0,0.370983,0.58741,2.0,2.0,1.0,84367.0,84367.0,1.0,1.0,296.0,0
297,A1341,A867,60111.0,D168,London,payment,7.0,5.0,306756.0,498979.0,36660.0,24070.0,4.0,4.0,0.0,0.0,1.22812,0.549891,2.0,2.0,1.0,60111.0,60111.0,1.0,1.0,297.0,0
299,A2210,A214,46175.0,D115,Mumbai,transfer,6.0,4.0,4398470.0,124491.0,34706.0,31346.0,5.0,2.75,0.0,0.0,1.0,0.918528,2.0,2.0,1.0,46175.0,46175.0,1.0,1.0,299.0,0
303,A84,A625,31641.0,D65,Ladakh,payment,3.0,1.0,13941700.0,91464.0,21552.0,34114.0,2.0,6.0,0.0,0.0,0.582709,0.777849,2.0,2.0,1.0,31641.0,31641.0,1.0,1.0,303.0,0
308,A688,A2482,79867.0,D59,Bangalore,transfer,16.0,3.0,7914410.0,164689.0,37632.0,38198.0,3.75,1.66667,0.0,0.0,0.547543,0.727404,4.0,2.0,1.0,79867.0,79867.0,1.0,1.0,308.0,0
318,A2359,A813,1275109.0,D125,Mumbai,transfer,3.0,5.0,1453840.0,132084.0,36391.0,39871.0,3.33333,4.0,0.0,0.0,0.909246,1.02176,2.0,2.0,1.0,1275110.0,1275110.0,1.0,1.0,318.0,1
323,A2460,A496,74388.0,D22,London,withdrawal,3.0,4.0,10962300.0,67890.0,26699.0,25517.0,4.0,5.0,0.333333,0.0,0.4378,0.987032,2.0,2.0,1.0,74388.0,74388.0,1.0,1.0,323.0,0
329,A2008,A433,1000.0,D_SHARED_1,Dubai,transfer,6.0,1.0,1597240.0,1000.0,37949.0,330.0,3.33333,3.0,0.0,0.0,4.20068,1.82726,4.0,2.0,1.0,1000.0,1000.0,1.0,1.0,329.0,1
330,A433,A1776,1000.0,D_SHARED_1,Dubai,transfer,1.0,3.0,1000.0,59450.0,330.0,33672.0,3.0,4.0,0.0,0.0,1.82726,3.77061,2.0,4.0,1.0,1000.0,1000.0,1.0,1.0,330.0,1
331,A1776,A1484,1000.0,D_SHARED_1,Dubai,transfer,3.0,1.0,59450.0,1000.0,33672.0,332.0,4.0,6.0,0.0,0.0,3.77061,3.02534,4.0,4.0,1.0,1000.0,1000.0,1.0,1.0,331.0,1
332,A1484,A2008,1000.0,D_SHARED_1,Dubai,transfer,1.0,6.0,1000.0,1597240.0,332.0,37949.0,6.0,3.33333,0.0,0.0,3.02534,4.20068,4.0,4.0,1.0,1000.0,1000.0,1.0,1.0,332.0,1
337,A1784,A722,96619.0,D268,Singapore,payment,4.0,3.0,195435.0,161310.0,34671.0,30599.0,6.25,2.33333,0.0,0.0,1.10207,1.81662,2.0,2.0,1.0,96619.0,96619.0,1.0,1.0,337.0,0
344,A2427,A1100,42705.0,D126,Mumbai,withdrawal,9.0,3.0,26159000.0,74008.0,29965.0,15270.0,3.88889,2.33333,0.0,0.0,0.328841,0.208881,4.0,2.0,1.0,42705.0,42705.0,1.0,1.0,344.0,0
354,A1378,A118,65504.0,D167,Bangalore,transfer,7.0,4.0,4364460.0,10096500.0,39506.0,29542.0,3.42857,3.0,0.0,0.0,1.16022,0.476084,2.0,2.0,1.0,65504.0,65504.0,1.0,1.0,354.0,0
360,A1395,A1146,78509.0,D142,Delhi,withdrawal,4.0,7.0,314343.0,635953.0,34311.0,38951.0,5.0,4.85714,0.0,0.0,1.03806,1.41817,2.0,2.0,1.0,78509.0,78509.0,1.0,1.0,360.0,0
367,A985,A1951,85145.0,D252,Ladakh,transfer,8.0,3.0,6914260.0,177031.0,31028.0,35405.0,4.5,5.66667,0.0,0.0,1.62481,1.78517,2.0,2.0,1.0,85145.0,85145.0,1.0,1.0,367.0,0
372,A997,A1255,87283.0,D298,London,withdrawal,7.0,3.0,2663470.0,1246360.0,44131.0,33385.0,4.71429,3.0,0.0,0.0,1.23859,0.881451,2.0,2.0,1.0,87283.0,87283.0,1.0,1.0,372.0,0
381,A1859,A1110,40730.0,D129,Dubai,withdrawal,5.0,4.0,271792.0,107900.0,32845.0,39666.0,4.6,4.75,0.0,0.0,2.26644,1.551,4.0,2.0,1.0,40730.0,40730.0,1.0,1.0,381.0,0
385,A2195,A759,25560.0,D111,Ladakh,transfer,5.0,0.0,3693940.0,0.0,31876.0,0.0,2.8,0.0,0.0,0.0,0.598388,1.22619,2.0,2.0,1.0,25560.0,25560.0,1.0,1.0,385.0,0
389,A1479,A735,40381.0,D8,Bangalore,transfer,2.0,1.0,41698.0,2556.0,39508.0,1312.0,3.5,4.0,0.0,0.0,1.19049,1.51956,2.0,2.0,1.0,40381.0,40381.0,1.0,1.0,389.0,0
390,A518,A2011,13734.0,D7,Singapore,transfer,6.0,5.0,10134300.0,28667.0,18292.0,39384.0,3.0,4.2,0.0,0.0,1.2092,1.29372,2.0,2.0,1.0,13734.0,13734.0,1.0,1.0,390.0,0
395,A1957,A468,9105.0,D206,Ladakh,withdrawal,4.0,4.0,36132.0,206897.0,39929.0,38405.0,3.75,2.5,0.0,0.0,0.250563,0.383881,2.0,2.0,1.0,9105.0,9105.0,1.0,1.0,395.0,0
396,A2306,A1245,11470.0,D128,Mumbai,withdrawal,7.0,3.0,17101500.0,103316.0,33547.0,27851.0,3.57143,2.33333,0.0,0.0,1.10312,0.492739,2.0,2.0,1.0,11470.0,11470.0,1.0,1.0,396.0,0
403,A1814,A1218,77564.0,D220,Singapore,withdrawal,4.0,3.0,8582250.0,2720.0,36310.0,23888.0,3.25,2.66667,0.0,0.0,0.816116,0.677904,2.0,2.0,1.0,77564.0,77564.0,1.0,1.0,403.0,0
405,A852,A865,35203.0,D42,Bangalore,transfer,5.0,2.0,382749.0,106781.0,36878.0,40032.0,3.4,4.0,0.0,0.0,2.24556,0.852553,4.0,2.0,1.0,35203.0,35203.0,1.0,1.0,405.0,0
412,A2433,A1925,38927.0,D17,Dubai,withdrawal,4.0,6.0,4858930.0,86606.0,19752.0,25879.0,3.0,6.5,0.0,0.0,0.59626,1.86746,2.0,2.0,1.0,38927.0,38927.0,1.0,1.0,412.0,0
417,A1860,A292,90661.0,D120,Singapore,payment,2.0,3.0,180967.0,53859.0,21716.0,34857.0,3.5,4.33333,0.0,0.0,2.0125,2.69538,4.0,4.0,1.0,90661.0,90661.0,1.0,1.0,417.0,0
419,A611,A1089,18870.0,D37,Delhi,payment,2.0,3.0,38342.0,7792860.0,30699.0,30328.0,3.0,1.33333,0.0,0.0,0.925168,1.07565,2.0,2.0,1.0,18870.0,18870.0,1.0,1.0,419.0,0
429,A2332,A1183,57943.0,D64,Ladakh,withdrawal,5.0,3.0,289951.0,214940.0,29313.0,39897.0,4.0,5.66667,0.0,0.0,0.553418,0.827999,2.0,2.0,1.0,57943.0,57943.0,1.0,1.0,429.0,0
438,A330,A2450,5436.0,D222,London,transfer,4.0,1.0,130980.0,44963.0,38628.0,16742.0,6.0,3.0,0.0,0.0,0.282433,0.537867,2.0,2.0,1.0,5436.0,5436.0,1.0,1.0,438.0,0
440,A2357,A2405,3229.0,D138,Delhi,payment,1.0,4.0,3229.0,225726.0,440.0,34668.0,4.0,10.75,0.0,0.0,0.781706,1.24163,2.0,3.0,1.0,3229.0,3229.0,1.0,1.0,440.0,0
443,A1786,A2015,12335.0,D241,London,payment,4.0,5.0,38353.0,6292690.0,24480.0,33413.0,4.75,3.2,0.0,0.0,1.20064,1.62538,2.0,2.0,1.0,12335.0,12335.0,1.0,1.0,443.0,0
