node,degree,total_amount,latest_tx,avgNbrDeg,clustering,pagerank,risk,label
A1047,0,0,0,0,0,0.876061,0,0
A39,0,0,0,0,0,0.427151,0,0
A933,0,0,0,0,0,0.6394,0,0
A2171,0,0,0,0,0,0.263443,0,0
A2002,0,0,0,0,0,0.28774,0,0
A263,0,0,0,0,0,0.515562,0,0
A2327,0,0,0,0,0,0.31166,0,0
A2257,0,0,0,0,0,0.830198,0,0
A465,0,0,0,0,0,0.403932,0,0
A1679,0,0,0,0,0,0.840716,0,0
A43,0,0,0,0,0,1.09773,0,0
A540,0,0,0,0,0,1.50242,0,0
A1636,0,0,0,0,0,1.52258,0,0
A784,0,0,0,0,0,0.426118,0,0
A2001,0,0,0,0,0,0.639161,0,0
A418,0,0,0,0,0,0.244444,0,0
A938,0,0,0,0,0,0.841586,0,0
A2493,0,0,0,0,0,0.593485,0,0
A1942,0,0,0,0,0,0.846339,0,0
A979,0,0,0,0,0,1.05198,0,0
A2254,0,0,0,0,0,0.703104,0,0
A697,0,0,0,0,0,0.787034,0,0
A1294,0,0,0,0,0,0.83848,0,0
A1275,0,0,0,0,0,0.472785,0,0
A159,0,0,0,0,0,0.229007,0,0
A192,0,0,0,0,0,1.03128,0,0
A2500,0,0,0,0,0,0.996288,0,0
A749,0,0,0,0,0,0.864929,0,0
A2085,0,0,0,0,0,0.785268,0,0
A1198,0,0,0,0,0,1.11012,0,0
A2456,0,0,0,0,0,1.15503,0,0
A2413,0,0,0,0,0,0.625836,0,0
A444,0,0,0,0,0,0.603036,0,0
A593,0,0,0,0,0,1.30932,0,0
A53,0,0,0,0,0,0.589538,0,0
A1151,0,0,0,0,0,0.693361,0,0
A635,0,0,0,0,0,0.838918,0,0
A1928,0,0,0,0,0,2.03066,0,0
A2194,0,0,0,0,0,1.15657,0,0
A1191,0,0,0,0,0,0.809547,0,0
A2308,0,0,0,0,0,0.715758,0,0
A137,1,99795,39854,9,0,1.94676,2,0
A421,1,10864,39823,4,0,2.80895,4,0
A319,1,54342,39484,3,0,0.735335,2,0
A1116,1,14795,39106,4,0,0.440836,2,0
A620,1,3.09362e+006,38826,3,0,0.574166,2,0
A2054,1,84927,38571,9,0,0.502064,2,0
A219,1,77359,38058,5,0,0.503359,2,0
A1258,1,73571,38039,4,0,0.460917,2,0
A1713,1,1.05644e+006,37871,2,0,0.500333,2,0
A796,1,11342,37785,6,0,1.0594,2,0
A2299,1,91672,37949,2,0,0.391602,2,0
A311,1,41227,37563,6,0,0.637386,2,0
A1495,1,74778,37444,4,0,0.429897,2,0
A1505,1,1000,37022,4,0,1.01494,2,0
A2314,2,4.35681e+006,37533,5,0,1,2,0
A575,1,1.70374e+006,36397,10,0,0.907499,2,0
A2300,1,1078,36361,5,0,1.21327,2,0
A443,1,67414,36240,10,0,1.59493,2,0
A1207,1,27633,36172,3,0,0.367905,2,0
A686,1,8.81296e+006,36076,1,0,1.15586,2,0
A676,1,62090,35868,3,0,0.926917,2,0
A1128,1,87192,35758,5,0,0.638315,2,0
A1133,1,48571,34646,4,0,0.505238,2,0
A342,2,4.92862e+006,37084,4.5,0,0.809608,2,0
A663,2,2726,37908,4,0,1.22027,2,0
A1964,1,28406,34314,2,0,0.32142,2,0
A548,1,64102,34127,13,0,0.627627,3,0
A607,0,0,0,0,0,0.773025,0,0
A307,2,8.0045e+006,38824,4,0,1.0498,2,0
A2406,2,7.70707e+006,39485,6,0,1.24579,2,0
A1519,2,68811,39541,5,0,0.89296,2,0
A2189,2,80695,35262,4,0,0.99236,2,0
A905,1,1.96257e+006,33169,6,0,0.603999,2,0
A1872,2,3329,33852,1.5,0,1.00346,2,0
A2266,1,28859,33010,3,0,0.311827,2,0
A1894,2,1.81952e+006,36570,4,0,1,2,0
A1552,2,27368,33946,2,0,1.54587,2,0
A959,1,28946,32822,6,0,0.360226,2,0
A2439,3,100032,38511,4.66667,0,0.919589,2,0
A2246,3,2.09243e+006,36572,4.33333,0,0.913239,2,0
A719,1,55046,32152,6,0,1.35701,2,0
A1906,1,1554,31929,4,0,1.14002,2,0
A320,5,2.98295e+006,36739,5.6,0,0.673596,2,0
A2445,1,2.34248e+006,31585,2,0,1.25935,2,0
A1059,3,6.20518e+006,31840,6,0,1,2,0
A1158,1,41542,31277,5,0,1,2,0
A1983,8,9276,34810,4.5,0.0357143,0.67331,2,0
A1430,1,36459,31118,5,0,0.668415,2,0
A109,1,20664,31087,5,0,0.649158,2,0
A1706,3,1.72967e+006,39920,4.33333,0,1.45434,2,0
A491,9,55329,36235,3.77778,0,1.63358,2,0
A387,8,30225,35061,4.75,0,0.374666,2,0
A312,3,55877,40076,7,0,0.747754,2,0
A1826,2,24966,31223,6,0,0.559334,2,0
A917,2,176352,33796,5,0,1.51661,2,0
A579,5,2.66658e+007,33733,5.4,0,1.85637,4,0
A2455,2,74569,32523,3.5,0,0.64068,2,0
A101,2,122907,34860,2,0,0.759972,2,0
A820,2,50214,34372,3.5,0,1.0643,2,0
A395,3,73157,33519,4.33333,0,1.67991,2,0
A1785,3,63912,36819,2.33333,0,0.719622,2,0
A2172,1,26448,30128,6,0,1.28703,2,0
A966,2,17092,34685,2.5,0,1.67151,2,0
A1985,3,2.77592e+006,31590,4.66667,0,1.95627,2,0
A1986,3,7.10198e+006,37544,3,0,0.502265,2,0
A983,3,6.26122e+006,32046,5.33333,0,1.17815,2,0
A1293,3,2.57638e+006,35155,3.33333,0,1.42571,2,0
A1347,3,163750,39238,4.33333,0,1.38415,2,0
A928,1,51947,28897,1,0,0.327096,2,0
A648,2,1.81307e+006,39303,2,0,1,2,0
A960,2,189889,34997,4.5,0,0.429174,2,0
A800,2,136476,31432,2.5,0,1.46602,2,0
A1394,2,5.0272e+006,36702,2,0,2.15439,4,0
A489,1,9.42114e+006,28444,1,0,0.370684,2,0
A1457,1,22301,28321,9,0,0.868269,2,0
A596,2,4.82614e+006,33770,1.5,0,0.711604,2,0
A699,1,1819,32431,4,0,0.786155,2,0
A1545,2,1.35371e+006,30972,3.5,0,0.56595,2,0
A541,1,1000,28160,6,0,0.829545,2,0
A658,3,211639,33049,2.66667,0,0.350916,2,0
A990,2,4.77159e+006,33862,3.5,0,0.520846,2,0
A670,1,1.23028e+006,27446,0,0,0.47262,2,0
A1655,5,80422,36195,4.6,0,0.431401,2,0
A1875,1,7813,27299,1,0,0.850744,2,0
A2233,3,36450,38386,4,0,0.475535,2,0
A490,1,87982,27187,5,0,1,2,0
A1654,3,46313,33393,5,0,2.31575,4,0
A2123,4,94466,38651,5.25,0,1.20979,2,0
A1217,3,55081,39915,2,0,0.797484,2,0
A478,1,4375,38575,5,0,0.739635,2,0
