timestamp,sender,receiver,amount,count,total,avg,velocity,unique_devices,degree_s,degree_r,risk_s,risk_r,label
0,A103,A1127,32572,1,32572,32572,0,1,1,0,0,0,0
7,A896,A2233,1359,1,1359,1359,0,1,1,0,0,0,1
8,A896,A1840,1706,1,1706,1706,0,1,2,0,0,0,1
9,A896,A27,826,1,826,826,0,1,3,0,0,0,1
10,A896,A1394,1069,1,1069,1069,0,1,4,0,0,0,1
11,A896,A882,1189,1,1189,1189,0,1,5,0,2,0,1
12,A896,A380,1278,1,1278,1278,0,1,6,0,2,0,1
13,A896,A1471,1204,1,1204,1204,0,1,7,0,2,0,1
14,A896,A178,1994,1,1994,1994,0,1,8,0,2,0,1
16,A323,A2262,1000,1,1000,1000,0,1,1,0,0,0,1
17,A2262,A1201,1000,1,1000,1000,0,1,1,0,0,0,1
18,A1201,A1482,1000,1,1000,1000,0,1,1,0,0,0,1
19,A1482,A323,1000,1,1000,1000,0,1,1,1,0,0,1
26,A285,A188,86873,1,86873,86873,0,1,1,0,0,0,0
28,A1858,A1495,21858,1,21858,21858,0,1,1,0,0,0,0
31,A1003,A670,61241,1,61241,61241,0,1,1,0,0,0,0
37,A230,A939,4691,1,4691,4691,0,1,1,0,0,0,0
45,A1880,A586,35354,1,35354,35354,0,1,1,0,0,0,0
55,A2391,A1636,47859,1,47859,47859,0,1,1,0,0,0,0
58,A1730,A2443,8820,1,8820,8820,0,1,1,0,0,0,0
63,A48,A470,89874,1,89874,89874,0,1,1,0,0,0,0
66,A1079,A2051,23734,1,23734,23734,0,1,1,0,0,0,0
75,A627,A1532,21485,1,21485,21485,0,1,1,0,0,0,0
80,A987,A2324,10687,1,10687,10687,0,1,1,0,0,0,0
83,A677,A2252,4.44701e+006,1,4.44701e+006,4.44701e+006,0,1,1,0,0,0,1
84,A2485,A2252,7.09918e+006,1,7.09918e+006,7.09918e+006,0,1,1,0,0,0,1
85,A2209,A2252,3.37485e+006,1,3.37485e+006,3.37485e+006,0,1,1,0,0,0,1
86,A1635,A2252,6.26506e+006,1,6.26506e+006,6.26506e+006,0,1,1,0,0,0,1
87,A2120,A2252,7.57478e+006,1,7.57478e+006,7.57478e+006,0,1,1,0,0,0,1
87,A1385,A87,77589,1,77589,77589,0,1,1,0,0,0,0
89,A1354,A291,67878,1,67878,67878,0,1,1,0,0,0,0
98,A2361,A1937,4.07692e+006,1,4.07692e+006,4.07692e+006,0,1,1,0,0,0,1
99,A2361,A780,1.58262e+006,1,1.58262e+006,1.58262e+006,0,1,2,0,0,0,1
100,A2361,A1452,7.10657e+006,1,7.10657e+006,7.10657e+006,0,1,3,0,0,0,1
101,A2361,A222,1.65128e+006,1,1.65128e+006,1.65128e+006,0,1,4,0,0,0,1
104,A448,A1019,25693,1,25693,25693,0,1,1,0,0,0,0
106,A2255,A402,7228,1,7228,7228,0,1,1,0,0,0,0
109,A1972,A876,52643,1,52643,52643,0,1,1,0,0,0,0
114,A2277,A1994,21189,1,21189,21189,0,1,1,0,0,0,0
124,A250,A1285,7600,1,7600,7600,0,1,1,0,0,0,0
133,A281,A1654,1.56984e+006,1,1.56984e+006,1.56984e+006,0,1,1,0,0,0,1
143,A2436,A163,81675,1,81675,81675,0,1,1,0,0,0,0
147,A1287,A978,35234,1,35234,35234,0,1,1,0,0,0,0
148,A2307,A410,9953,1,9953,9953,0,1,1,0,0,0,0
154,A1001,A1514,38009,1,38009,38009,0,1,1,0,0,0,0
163,A425,A551,34894,1,34894,34894,0,1,1,0,0,0,0
168,A1405,A834,90607,1,90607,90607,0,1,1,0,0,0,0
175,A181,A15,44656,1,44656,44656,0,1,1,0,0,0,0
183,A1752,A2298,2055,1,2055,2055,0,1,1,0,0,0,0
184,A2386,A2264,19806,1,19806,19806,0,1,1,0,0,0,0
190,A164,A1466,27879,1,27879,27879,0,1,1,0,0,0,0
193,A970,A666,23909,1,23909,23909,0,1,1,0,0,0,0
199,A1687,A1017,35428,1,35428,35428,0,1,1,0,0,0,0
203,A1886,A1433,40538,1,40538,40538,0,1,1,0,0,0,0
207,A1142,A285,36919,1,36919,36919,0,1,1,1,0,0,0
209,A1070,A732,76250,1,76250,76250,0,1,1,0,0,0,0
216,A1285,A1788,79760,1,79760,79760,0,1,1,0,0,0,0
10223,A808,A1353,5000,1,5000,5000,0,1,1,0,0,0,1
225,A1231,A2078,41211,1,41211,41211,0,1,1,0,0,0,0
230,A786,A1723,87526,1,87526,87526,0,1,1,0,0,0,0
235,A2376,A2485,86200,1,86200,86200,0,1,1,1,0,0,0
239,A696,A348,38106,1,38106,38106,0,1,1,0,0,0,0
244,A816,A604,3973,1,3973,3973,0,1,1,0,0,0,0
