tx_id,sender,receiver,amount,timestamp,device_id,location,tx_type,status,label
1,A103,A1127,32572,0,D115,Bangalore,withdrawal,success,0
2,A896,A2233,1359,7,D113,Singapore,transfer,success,1
3,A896,A1840,1706,8,D143,Singapore,transfer,success,1
4,A896,A27,826,9,D217,Singapore,transfer,success,1
5,A896,A1394,1069,10,D80,Singapore,transfer,success,1
6,A896,A882,1189,11,D53,Singapore,transfer,success,1
7,A896,A380,1278,12,D50,Singapore,transfer,success,1
8,A896,A1471,1204,13,D136,Singapore,transfer,success,1
9,A896,A178,1994,14,D236,Singapore,transfer,success,1
10,A323,A2262,1000,16,D_SHARED_1,Dubai,transfer,success,1
11,A2262,A1201,1000,17,D_SHARED_1,Dubai,transfer,success,1
12,A1201,A1482,1000,18,D_SHARED_1,Dubai,transfer,success,1
13,A1482,A323,1000,19,D_SHARED_1,Dubai,transfer,success,1
14,A285,A188,86873,26,D117,Singapore,transfer,success,0
15,A1858,A1495,21858,28,D190,London,withdrawal,success,0
16,A1003,A670,61241,31,D195,Singapore,withdrawal,success,0
17,A230,A939,4691,37,D162,Pakistan,transfer,success,0
18,A1880,A586,35354,45,D72,Dubai,withdrawal,success,0
19,A2391,A1636,47859,55,D113,Bangalore,transfer,success,0
20,A1730,A2443,8820,58,D198,Pakistan,withdrawal,success,0
21,A48,A470,89874,63,D275,Singapore,payment,success,0
22,A1079,A2051,23734,66,D260,Mumbai,withdrawal,success,0
23,A627,A1532,21485,75,D277,Delhi,payment,success,0
24,A987,A2324,10687,80,D44,Ladakh,withdrawal,success,0
25,A677,A2252,4447012,83,D271,Dubai,transfer,success,1
26,A2485,A2252,7099176,84,D109,Dubai,transfer,success,1
27,A2209,A2252,3374854,85,D160,Dubai,transfer,success,1
28,A1635,A2252,6265056,86,D225,Dubai,transfer,success,1
29,A2120,A2252,7574780,87,D62,Dubai,transfer,success,1
30,A1385,A87,77589,87,D284,Dubai,transfer,success,0
31,A1354,A291,67878,89,D122,Singapore,transfer,success,0
32,A2361,A1937,4076917,98,D243,Pakistan,transfer,failed,1
33,A2361,A780,1582624,99,D50,Pakistan,transfer,failed,1
34,A2361,A1452,7106570,100,D211,Ladakh,transfer,failed,1
35,A2361,A222,1651277,101,D32,Pakistan,transfer,success,1
36,A448,A1019,25693,104,D98,Ladakh,transfer,success,0
37,A2255,A402,7228,106,D277,Delhi,transfer,success,0
38,A1972,A876,52643,109,D31,Bangalore,payment,success,0
39,A2277,A1994,21189,114,D98,Singapore,transfer,success,0
40,A250,A1285,7600,124,D26,Ladakh,transfer,success,0
41,A281,A1654,1569840,133,D35,Dubai,transfer,success,1
42,A2436,A163,81675,143,D42,Pakistan,payment,success,0
43,A1287,A978,35234,147,D203,Bangalore,transfer,success,0
44,A2307,A410,9953,148,D276,Dubai,transfer,success,0
45,A1001,A1514,38009,154,D81,Ladakh,withdrawal,success,0
46,A425,A551,34894,163,D60,Mumbai,payment,success,0
47,A1405,A834,90607,168,D136,Ladakh,transfer,success,0
48,A181,A15,44656,175,D67,Singapore,withdrawal,success,0
49,A1752,A2298,2055,183,D58,Mumbai,withdrawal,success,0
50,A2386,A2264,19806,184,D221,Bangalore,payment,success,0
51,A164,A1466,27879,190,D128,Mumbai,withdrawal,success,0
52,A970,A666,23909,193,D212,Delhi,withdrawal,success,0
53,A1687,A1017,35428,199,D82,Mumbai,transfer,success,0
54,A1886,A1433,40538,203,D117,Dubai,withdrawal,success,0
55,A1142,A285,36919,207,D180,Pakistan,transfer,success,0
56,A1070,A732,76250,209,D136,Delhi,withdrawal,success,0
57,A1285,A1788,79760,216,D262,Mumbai,transfer,success,0
58,A808,A1353,5000,10223,D161,Singapore,transfer,success,1
59,A1231,A2078,41211,225,D210,London,withdrawal,success,0
60,A786,A1723,87526,230,D195,Bangalore,payment,success,0
61,A2376,A2485,86200,235,D165,Ladakh,payment,success,0
62,A696,A348,38106,239,D264,London,withdrawal,success,0
63,A816,A604,3973,244,D24,Dubai,withdrawal,success,0
64,A2358,A797,94563,246,D197,Ladakh,transfer,success,0
65,A2122,A1903,7148,253,D286,Dubai,payment,success,0
66,A2176,A2290,78304,256,D163,Ladakh,withdrawal,success,0
67,A1945,A1844,34264,264,D127,Singapore,withdrawal,success,0
68,A318,A1171,31129,268,D140,London,transfer,success,0
69,A626,A877,9143,272,D213,Pakistan,withdrawal,success,0
70,A848,A1721,51760,280,D300,Delhi,payment,success,0
71,A1224,A1598,55154,281,D276,Dubai,transfer,success,0
72,A119,A1593,44798,286,D208,Bangalore,payment,success,0
73,A112,A344,84367,296,D220,Bangalore,transfer,success,0
74,A1341,A867,60111,297,D168,London,payment,success,0
75,A2210,A214,46175,299,D115,Mumbai,transfer,success,0
76,A84,A625,31641,303,D65,Ladakh,payment,success,0
77,A688,A2482,79867,308,D59,Bangalore,transfer,success,0
78,A2359,A813,1275109,318,D125,Mumbai,transfer,success,1
79,A2460,A496,74388,323,D22,London,withdrawal,success,0
80,A2008,A433,1000,329,D_SHARED_1,Dubai,transfer,success,1
81,A433,A1776,1000,330,D_SHARED_1,Dubai,transfer,success,1
82,A1776,A1484,1000,331,D_SHARED_1,Dubai,transfer,success,1
83,A1484,A2008,1000,332,D_SHARED_1,Dubai,transfer,success,1
84,A1784,A722,96619,337,D268,Singapore,payment,success,0
85,A2427,A1100,42705,344,D126,Mumbai,withdrawal,success,0
86,A1378,A118,65504,354,D167,Bangalore,transfer,success,0
87,A1395,A1146,78509,360,D142,Delhi,withdrawal,success,0
88,A985,A1951,85145,367,D252,Ladakh,transfer,success,0
89,A997,A1255,87283,372,D298,London,withdrawal,success,0
90,A1859,A1110,40730,381,D129,Dubai,withdrawal,success,0
91,A2195,A759,25560,385,D111,Ladakh,transfer,success,0
92,A1479,A735,40381,389,D8,Bangalore,transfer,success,0
93,A518,A2011,13734,390,D7,Singapore,transfer,success,0
94,A1957,A468,9105,395,D206,Ladakh,withdrawal,success,0
95,A2306,A1245,11470,396,D128,Mumbai,withdrawal,success,0
96,A1814,A1218,77564,403,D220,Singapore,withdrawal,success,0
97,A852,A865,35203,405,D42,Bangalore,transfer,success,0
98,A2433,A1925,38927,412,D17,Dubai,withdrawal,success,0
99,A1860,A292,90661,417,D120,Singapore,payment,success,0
100,A611,A1089,18870,419,D37,Delhi,payment,success,0
101,A2332,A1183,57943,429,D64,Ladakh,withdrawal,success,0
102,A330,A2450,5436,438,D222,London,transfer,success,0
103,A2357,A2405,3229,440,D138,Delhi,payment,success,0
104,A1786,A2015,12335,443,D241,London,payment,success,0
105,A659,A1351,54349,449,D254,Singapore,payment,success,0
106,A1325,A475,53303,451,D264,Delhi,payment,success,0
107,A1482,A2042,82545,452,D227,Delhi,payment,success,0
108,A981,A649,5213622,460,D283,Delhi,transfer,failed,1
109,A981,A2263,6845047,461,D48,Dubai,transfer,failed,1
110,A981,A465,7741910,462,D61,Bangalore,transfer,failed,1
